Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
K2-139,,19 16 16.00,-17 54 38.00,11.65,0.14,6.47,0.04,GAIADR2,5287.0,60.0,4.52,0.06,,,0.87,0.06,0.21,0.05,0.87,0.06,Barragan et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1702.00691,0,2018-07-30,,"TYC 6300-2008-1, EPIC 218916923"
EPIC 219388192,,19 17 34.00,-16 52 18.00,12.5,0.02,3.25,0.05,GAIADR2,5850.0,85.0,4.38,0.12,,,,,0.03,0.08,1.03,0.1,Nowak et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1610.08571,0,2018-07-30,,NAME EPIC 219388192b
EPIC 220504338,,01 17 48.00,+06 42 08.00,13.68,0.03,1.66,,Spec,5627.0,88.0,4.4,0.15,,,,,0.18,0.06,1.0,0.1,Espinoza et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.07614,0,2018-07-30,,
K2-106,,00 52 19.15,+10 47 40.92,12.1,0.21,4.06,0.05,GAIADR2,5814.0,181.0,4.41,0.09,,,,,-0.28,0.25,0.93,0.11,Adams et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.00397,0,2018-07-30,,EPIC 220674823
EPIC-206011691,,22 41 12.89,-14 29 20.35,12.85,0.02,11.93,0.04,GAIADR2,4043.0,375.0,,,,,,,-0.11,0.13,,,Petigura et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150708256P,0,2018-07-30,M0V,K2-21
EPIC-210490365,,04 13 06.00,+15 14 52.00,15.56,0.03,,,Spec,3180.0,60.0,,,,,,,0.15,0.03,,,Mann et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1512.00483,0,2018-04-16,M4.5V,UCAC4 527-008015
eps CrB,143107,15 57 35.25,+26 52 40.36,4.13,0.01,14.29,0.21,GAIADR2,4436.0,56.0,1.94,0.15,,,1.68,0.06,-0.22,0.03,3.24,0.46,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, eps CrB
eps Eridani,22049,03 32 55.84,-09 27 29.73,3.73,,310.94,0.16,Simbad,5049.0,48.0,4.45,0.09,,,0.83,0.1,-0.15,0.03,0.77,0.04,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,, eps Eri
eps Tau,28305,04 28 36.99,+19 10 49.54,3.53,0.05,20.31,0.43,GAIADR2,4946.0,70.0,2.62,0.15,,,1.48,0.07,0.17,0.06,2.49,0.36,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, eps Tau
eta Cet,6805,01 08 35.39,-10 10 56.16,3.45,,28.26,0.33,GAIADR2,4687.0,85.0,2.63,0.21,,,1.41,0.08,0.15,0.05,2.25,0.45,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, eta Cet
gamma 1 Leo,89484,10 19 58.35,+19 50 29.34,1.98,,25.96,0.83,Simbad,4395.0,48.0,1.66,0.13,,,1.67,0.04,-0.47,0.03,3.7,0.44,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,HD 89484
gamma Cephei,222404,23 39 20.85,+77 37 56.18,3.22,0.01,73.83,0.37,GAIADR2,4764.0,112.0,3.1,0.27,,,1.06,0.12,0.13,0.06,1.62,0.37,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, gam Cep
GJ 1132,,10 14 52.00,-47 09 24.00,13.5,,,,Spec,3270.0,140.0,5.06,,,,,,-0.12,0.15,,,Berta-Thompson et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.03550,0,2015-11-19,M dwarf,
GJ 1214,,17 15 18.94,+04 57 49.70,14.47,,69.1,0.9,AE12b,2817.0,110.0,5.06,0.52,,,,,0.05,0.09,0.31,0.07,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 15 A,1326,00 18 22.89,+44 01 22.63,8.08,0.01,278.76,0.77,Simbad,3567.0,11.0,4.9,0.17,,,,,-0.32,0.17,0.42,0.03,Howard et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1408.5645H,0,2018-07-30,M dwarf,
GJ 160.2,,04 06 34.84,-20 51 11.24,9.67,,43.25,1.61,Simbad,4498.0,152.0,4.35,0.5,,,0.15,1.4,-0.26,0.08,0.72,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,M dwarf,
GJ 163,,04 09 15.66,-53 22 25.31,11.81,0.02,66.69,1.82,Simbad,3223.0,172.0,4.87,0.18,,,,,-0.02,0.2,0.36,0.05,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,0,2018-10-09,M dwarf,
GJ 176,285968,04 42 55.77,+18 57 29.40,9.95,0.02,107.83,2.85,Simbad,3355.0,110.0,4.79,0.13,,,,,-0.01,0.09,0.39,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 179,,04 52 05.73,+06 28 35.64,12.02,0.02,80.9,0.06,GAIADR2,3086.0,110.0,4.91,0.2,,,,,0.12,0.09,0.35,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 180,,04 53 49.98,-17 46 24.29,10.89,,82.52,2.4,Simbad,3371.0,,,,,,,,,,,,Tuomi et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1403.0430T,0,2014-03-27,M dwarf,
GJ 229 A,42581,06 10 34.62,-21 51 52.71,8.12,,173.81,0.99,Simbad,3564.0,,,,,,,,,,,,Tuomi et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1403.0430T,0,2017-09-14,M dwarf,
GJ 27.1,,00 39 58.83,-44 15 11.60,11.4,,41.69,2.8,Simbad,3542.0,,,,,,,,,,,,Tuomi et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1403.0430T,0,2014-03-27,M dwarf,
GJ 273,,07 27 24.49,+05 13 32.80,9.87,,262.98,1.39,Simbad,3382.0,49.0,,,,,,,0.09,0.17,,,Astudillo-Defru et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1703.05386,0,2017-03-29,M3.5,
GJ 3021,1237,00 16 12.67,-79 51 04.24,6.58,,57.15,0.31,Simbad,5557.0,36.0,4.47,0.07,,,1.05,0.06,0.13,0.03,0.93,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
GJ 3138,,02 09 10.90,-16 20 22.50,10.98,,35.09,0.04,GAIADR2,3717.0,49.0,,,,,,,-0.3,0.12,,,Astudillo-Defru et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1703.05386,0,2018-07-30,M0,
GJ 317,,08 40 59.24,-23 27 23.30,11.98,,65.3,0.4,AE12a,3106.0,110.0,4.85,0.16,,,,,0.22,0.09,0.36,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 328,,08 55 07.60,+01 32 56.44,9.98,0.04,48.69,0.04,GAIADR2,3900.0,100.0,,,,,,,0.0,0.15,,,Robertson et al. 2013,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1307.7640,0,2018-10-09,M0,
GJ 3293,,04 28 36.00,-25 10 09.00,11.96,,55.0,9.0,Simbad,3466.0,49.0,,,,,,,0.02,0.09,,,Astudillo et al. 2014,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1411.7048,0,2015-01-19,M dwarf,
GJ 3323,,05 01 57.50,-06 56 45.90,12.22,,187.92,1.26,Simbad,3159.0,49.0,,,,,,,-0.27,0.09,,,Astudillo-Defru et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1703.05386,0,2017-04-12,M4,
GJ 3341,,05 15 47.00,-31 17 46.00,12.08,,43.18,1.4,Simbad,3526.0,49.0,,,,,,,-0.09,0.09,,,Astudillo et al. 2014,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1411.7048,0,2015-01-19,M-dwarf,
GJ 3470,,07 59 05.87,+15 23 29.50,12.33,,33.96,0.06,GAIADR2,3470.0,150.0,4.83,0.15,,,,,0.08,0.1,0.43,0.05,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,0,2018-10-09,M dwarf,
GJ 3634,,10 58 35.10,-31 08 39.10,11.95,,50.55,1.55,R10,3405.0,110.0,4.83,0.15,,,,,-0.07,0.09,0.4,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 3998,,17 16 01.00,+11 03 30.00,10.8,,56.2,2.26,Simbad,3722.0,68.0,4.77,0.04,,,,,-0.16,0.09,0.47,0.04,Affer et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.03632,0,2018-07-30,M1,
GJ 422,304043,11 16 00.21,-57 32 51.60,11.51,,78.91,2.6,Simbad,3323.0,,,,,,,,,,,,Tuomi et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1403.0430T,0,2014-03-27,M dwarf,
GJ 433,,11 35 26.94,-32 32 23.90,9.81,0.02,112.6,1.4,Simbad,3480.0,110.0,4.81,0.14,,,,,-0.17,0.09,0.41,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 436,,11 42 11.09,+26 42 23.65,10.59,0.08,98.6,2.3,Simbad,3354.0,110.0,4.84,0.16,,,,,-0.03,0.09,0.39,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 536,122303,14 01 03.00,-02 39 18.00,9.71,,99.72,1.57,Simbad,3685.0,68.0,4.75,0.04,,,,,-0.08,0.09,0.47,0.04,Suarez Mascareno et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.02122,0,2018-07-30,M1,
GJ 581,,15 19 27.51,-07 43 19.44,10.61,0.08,160.9,2.6,Simbad,3248.0,110.0,4.96,0.25,,,,,-0.2,0.09,0.36,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 649,,16 58 08.85,+25 44 38.99,9.65,0.02,96.31,0.03,GAIADR2,3519.0,150.0,4.76,0.12,,,,,-0.04,0.1,0.43,0.05,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,0,2018-10-09,M dwarf,
GJ 667 C,,17 18 58.84,-34 59 48.64,10.22,,146.3,9.0,Simbad,3445.0,110.0,4.96,0.25,,,,,-0.5,0.09,0.38,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 674,,17 28 39.94,-46 53 42.69,9.41,0.02,220.2,1.4,Simbad,3334.0,110.0,4.92,0.21,,,,,-0.23,0.09,0.37,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 676 A,,17 30 11.20,-51 38 13.10,9.59,0.02,62.37,0.04,GAIADR2,3734.0,181.0,4.62,0.09,,,,,0.08,0.2,0.5,0.06,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,0,2018-10-09,M dwarf,
GJ 682,,17 37 03.66,-44 19 09.17,10.95,,196.9,2.15,Simbad,3028.0,,,,,,,,,,,,Tuomi et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1403.0430T,0,2014-03-27,M dwarf,
GJ 687,,17 36 25.90,+68 20 20.91,9.15,,220.84,0.94,Simbad,3414.0,28.0,,,,,,,-0.09,,,,Burt et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1405.2929B,0,2014-05-23,M dwarf,
GJ 785,192310,20 15 17.39,-27 01 58.71,5.72,0.01,113.65,0.11,GAIADR2,5087.0,48.0,4.3,0.1,,,0.69,0.1,-0.01,0.03,0.83,0.06,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-10-09,,
GJ 832,204961,21 33 33.98,-49 00 32.42,8.67,0.02,201.9,1.0,Simbad,3446.0,110.0,4.83,0.15,,,,,-0.17,0.09,0.4,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 849,,22 09 40.34,-04 38 26.62,10.37,0.02,109.9,2.1,Simbad,3143.0,110.0,4.8,0.14,,,,,0.22,0.09,0.36,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
GJ 86 A,13445,02 10 25.93,-50 49 25.41,6.17,,92.74,0.32,Simbad,5114.0,61.0,4.55,0.13,,,0.66,0.15,-0.29,0.04,0.75,0.04,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,GJ 86 A
GJ 876,,22 53 16.73,-14 15 49.32,10.19,0.01,213.3,2.1,Simbad,2954.0,110.0,4.93,0.22,,,,,0.14,0.09,0.32,0.04,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
HAT-P-48,,02 57 53.00,+30 37 33.00,12.16,0.11,3.11,0.05,GAIADR2,5946.0,50.0,4.3,0.03,,,,,0.02,0.08,1.08,0.1,Bakos et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.04556,0,2018-07-30,,
HAT-P-1,,22 57 46.82,+38 40 29.83,10.4,,6.26,0.04,GAIADR2,6076.0,27.0,4.47,0.07,4.4,0.01,1.17,0.05,0.21,0.03,1.13,0.1,Ammler-von Eiff et al. 2009,http://adsabs.harvard.edu/abs/2009A%26A...507..523A,1,2018-07-30,,
HAT-P-11,,19 50 50.24,+48 04 51.08,9.47,0.02,26.45,0.02,GAIADR2,4624.0,225.0,4.15,0.59,4.65,0.01,0.39,0.7,0.26,0.08,0.91,0.26,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,
HAT-P-12,,13 57 33.48,+43 29 36.70,12.84,,6.98,0.02,GAIADR2,4642.0,106.0,4.24,0.27,,,0.28,0.63,-0.26,0.06,0.73,0.06,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HAT-P-13,,08 39 31.81,+47 21 07.33,10.42,0.06,4.02,0.04,GAIADR2,5797.0,34.0,4.14,0.06,,,1.03,0.04,0.44,0.03,1.27,0.13,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HAT-P-14,,17 20 27.87,+38 14 31.94,9.99,0.03,4.46,0.03,GAIADR2,6845.0,108.0,4.62,0.05,,,1.92,0.15,0.17,0.07,1.35,0.1,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,
HAT-P-15,,04 24 59.53,+39 27 38.31,12.41,0.24,5.17,0.05,GAIADR2,5568.0,90.0,4.38,0.03,,,,,0.22,0.08,0.99,0.08,Kovacs et al. 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,0,2018-07-30,,
HAT-P-16,,00 38 17.56,+42 27 47.24,10.91,0.06,4.39,0.08,GAIADR2,6120.0,60.0,4.31,0.15,,,,,0.14,0.06,1.2,0.14,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,HTR123-008
HAT-P-17,,21 38 08.73,+30 29 19.41,10.38,0.03,10.8,0.06,GAIADR2,5332.0,55.0,4.45,0.13,4.52,0.02,0.82,0.1,0.05,0.03,0.87,0.06,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,
HAT-P-18,,17 05 23.15,+33 00 44.97,12.76,,6.17,0.02,GAIADR2,4803.0,80.0,4.57,0.04,,,,,0.1,0.08,0.74,0.04,Hartman et al. 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,0,2018-07-30,,
HAT-P-19,,00 38 04.01,+34 42 41.56,12.9,,4.92,0.04,GAIADR2,4951.0,60.0,4.44,0.15,,,,,0.29,0.06,0.82,0.06,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,HTR163-001
HAT-P-2,147506,16 20 36.36,+41 02 53.11,8.69,0.01,7.8,0.03,GAIADR2,6414.0,51.0,4.18,0.22,4.14,0.03,,,0.04,0.05,1.35,0.15,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,
HAT-P-20,,07 27 39.94,+24 20 11.37,11.34,,14.05,0.04,GAIADR2,4502.0,188.0,4.32,0.6,,,0.73,0.6,0.12,0.15,0.79,0.15,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,
HAT-P-21,,11 25 05.98,+41 01 40.65,11.46,0.11,3.58,0.04,GAIADR2,5588.0,80.0,4.33,0.06,,,,,0.01,0.08,0.96,0.08,Bakos et al. 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,0,2018-07-30,,
HAT-P-22,233731,10 22 43.58,+50 07 42.03,9.76,0.02,12.2,0.04,GAIADR2,5351.0,57.0,4.22,0.11,,,0.89,0.1,0.28,0.05,0.99,0.09,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,
HAT-P-23,,20 24 29.72,+16 45 43.79,11.94,0.2,2.71,0.04,GAIADR2,5924.0,30.0,4.28,0.11,4.33,0.05,,,0.16,0.03,1.14,0.11,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,
HAT-P-24,,07 15 18.02,+14 15 45.39,11.76,0.16,2.38,0.04,GAIADR2,6470.0,181.0,4.75,0.26,,,1.4,0.03,-0.41,0.1,1.03,0.11,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HAT-P-25,,03 13 44.50,+25 11 50.68,13.15,0.25,3.3,0.05,GAIADR2,5500.0,80.0,4.48,0.04,,,,,0.31,0.08,0.96,0.08,Quinn et al. 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,0,2018-07-30,,
HAT-P-26,,14 12 37.53,+04 03 36.13,11.76,0.18,7.02,0.06,GAIADR2,5011.0,55.0,4.31,0.17,,,0.48,0.16,0.01,0.04,0.81,0.06,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,
HAT-P-27-WASP-40,,14 51 04.18,+05 56 50.53,12.19,0.13,4.99,0.04,GAIADR2,5316.0,55.0,4.48,0.1,4.51,0.03,0.82,0.09,0.3,0.03,0.91,0.07,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,"WASP-40,HAT-P-27"
HAT-P-28,,00 52 00.18,+34 43 42.21,13.03,,2.46,0.03,GAIADR2,5668.0,60.0,4.37,0.15,,,,,0.1,0.06,1.0,0.1,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,HTR164-005
HAT-P-29,,02 12 31.49,+51 46 43.57,11.83,0.16,3.16,0.04,GAIADR2,6087.0,88.0,4.34,0.06,,,,,0.21,0.08,1.19,0.12,Buchhave et al. 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,0,2018-07-30,,
HAT-P-3,,13 44 22.58,+48 01 43.18,11.86,0.15,7.4,0.03,GAIADR2,5185.0,50.0,4.51,0.02,,,,,0.27,0.05,0.86,0.06,Southworth 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S,0,2018-07-30,,
HAT-P-30-WASP-51,,08 15 47.97,+05 50 12.39,10.35,0.05,4.64,0.05,GAIADR2,6338.0,42.0,4.52,0.06,,,1.4,0.05,0.12,0.03,1.18,0.11,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,"WASP-51,HAT-P-30"
HAT-P-31,,18 06 09.05,+26 25 35.97,11.67,0.11,2.88,0.02,GAIADR2,6065.0,100.0,4.26,0.11,,,,,0.15,0.08,1.2,0.14,Kipping et al. 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,0,2018-07-30,,
HAT-P-32,,02 04 10.27,+46 41 16.21,11.44,0.12,3.43,0.06,GAIADR2,6207.0,88.0,4.33,0.01,,,,,-0.04,0.08,1.14,0.11,Hartman et al. 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,0,2018-07-30,,
HAT-P-33,,07 32 44.21,+33 50 06.12,11.03,0.11,2.5,0.05,GAIADR2,6446.0,88.0,4.15,0.01,,,,,0.07,0.08,1.37,0.1,Hartman et al. 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,0,2018-07-30,,
HAT-P-34,351766,20 12 46.89,+18 06 17.42,10.4,0.05,3.98,0.04,GAIADR2,6509.0,51.0,4.24,0.22,4.21,0.06,,,0.08,0.05,1.36,0.14,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,
HAT-P-35,,08 13 00.17,+04 47 13.39,11.59,0.19,1.94,0.05,GAIADR2,6178.0,45.0,4.4,0.09,,,1.34,0.06,0.12,0.03,1.16,0.11,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,
HAT-P-36,,12 33 03.90,+44 54 55.18,12.15,0.16,3.37,0.03,GAIADR2,5560.0,100.0,4.37,0.04,,,,,0.26,0.1,1.0,0.09,Bakos et al. 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,0,2018-07-30,,
HAT-P-37,,18 57 11.05,+51 16 08.86,13.23,0.32,2.53,0.02,GAIADR2,5500.0,100.0,4.52,0.05,,,,,0.03,0.1,0.89,0.07,Bakos et al. 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,0,2018-07-30,,
HAT-P-38,,02 21 31.92,+32 14 46.80,12.56,0.09,3.89,0.04,GAIADR2,5339.0,60.0,4.39,0.15,,,,,0.1,0.06,0.89,0.07,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,HTR211-003
HAT-P-39,,07 35 01.98,+17 49 48.30,12.42,,1.41,0.04,GAIADR2,6745.0,236.0,4.91,0.46,,,1.53,0.04,-0.21,0.12,1.29,0.28,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HAT-P-4,,15 19 57.92,+36 13 46.78,11.12,0.07,3.09,0.03,GAIADR2,6054.0,60.0,4.17,0.28,4.14,0.02,1.59,0.09,0.35,0.08,1.35,0.18,Ammler-von Eiff et al. 2009,http://adsabs.harvard.edu/abs/2009A%26A...507..523A,1,2018-07-30,,
HAT-P-40,,22 22 03.10,+45 27 26.49,11.34,0.08,2.12,0.03,GAIADR2,6080.0,100.0,3.93,0.02,,,,,0.22,0.1,1.43,0.11,Hartman et al. 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,0,2018-07-30,,
HAT-P-41,,19 49 17.44,+04 40 20.72,11.36,0.15,2.84,0.04,GAIADR2,6479.0,51.0,4.39,0.22,4.22,0.07,,,0.13,0.05,1.31,0.12,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,
HAT-P-42,,09 01 22.65,+06 05 49.99,12.17,0.03,2.44,0.05,GAIADR2,5903.0,66.0,4.29,0.1,,,1.19,0.08,0.34,0.05,1.19,0.12,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HAT-P-43,,08 35 42.17,+10 12 23.92,13.36,0.03,1.86,0.03,GAIADR2,5645.0,74.0,4.37,0.02,,,,,0.23,0.08,1.02,0.09,Boisse et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...558A..86B,0,2018-07-30,,
HAT-P-44,,14 12 34.57,+47 00 52.98,13.21,,2.85,0.02,GAIADR2,5295.0,100.0,4.43,0.07,,,0.85,,0.33,0.1,0.92,0.08,Hartman et al. 2013,http://adsabs.harvard.edu/abs/2013arXiv1308.2937H,0,2018-07-30,,
HAT-P-45,,18 17 29.58,-03 22 51.80,12.79,,3.32,0.07,GAIADR2,6394.0,94.0,4.58,0.08,,,1.38,0.14,0.01,0.07,1.14,0.11,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HTR433-003
HAT-P-46,,18 01 46.61,-02 58 15.43,11.94,,3.41,0.06,GAIADR2,6421.0,121.0,4.53,0.14,,,1.67,0.18,0.16,0.09,1.23,0.14,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HAT-P-47,,02 33 14.00,+30 21 38.00,10.6,0.06,3.52,0.06,GAIADR2,6703.0,50.0,4.22,0.02,,,,,0.0,0.08,1.39,0.09,Bakos et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.04556,0,2018-07-30,,
HAT-P-49,340099,20 21 46.00,+26 41 34.00,10.21,0.01,2.83,0.03,GAIADR2,6820.0,52.0,4.1,0.04,,,,,0.07,0.08,1.51,0.11,Bieryla et al. 2014,http://adsabs.harvard.edu/abs/2014AJ....147...84B,0,2018-07-30,,
HAT-P-5,,18 17 37.29,+36 37 16.88,11.95,0.16,3.27,0.02,GAIADR2,5833.0,60.0,4.34,0.15,,,,,0.11,0.06,1.07,0.11,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,
HAT-P-50,,07 52 15.00,+28 08 22.00,11.76,0.03,1.92,,Spec,6283.0,82.0,4.17,0.11,,,1.63,0.13,-0.11,0.06,1.24,0.15,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HAT-P-51,,01 24 16.00,+32 48 39.00,13.44,0.04,2.02,,Spec,5449.0,50.0,4.39,0.03,,,2.0,,0.27,0.08,0.96,0.08,Hartman et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150304149H,0,2018-07-30,,
